FID,State_LGD,DISTRICT_L,District_1,STATE
0,24,673,MORBI,GUJARAT
1,24,438,AHMADABAD,GUJARAT
2,24,440,ANAND,GUJARAT
3,24,674,DEVBHUMI DWARKA,GUJARAT
4,24,447,JAMNAGAR,GUJARAT
5,24,449,KACHCHH,GUJARAT
6,24,443,BHAVNAGAR,GUJARAT
7,24,442,BHARUCH,GUJARAT
8,24,459,SURAT,GUJARAT
9,24,453,NAVSARI,GUJARAT
10,24,462,VALSAD,GUJARAT
11,23,667,AGAR MALWA,MADHYA PRADESH
12,9,118,AGRA,UTTAR PRADESH
13,8,86,AJMER,RAJASTHAN
14,32,554,ALAPPUZHA,KERALA
15,9,119,ALIGARH,UTTAR PRADESH
16,23,639,ALIRAJPUR,MADHYA PRADESH
17,5,45,ALMORA,UTTARAKHAND
18,8,87,ALWAR,RAJASTHAN
19,9,121,AMBEDKARNAGAR,UTTAR PRADESH
20,9,640,AMETHI,UTTAR PRADESH
21,9,154,AMROHA,UTTAR PRADESH
22,28,502,ANANTAPUR,ANDHRA PRADESH
23,21,344,ANUGUL,ODISHA
24,23,390,ANUPPUR,MADHYA PRADESH
25,24,672,ARAVALLI,GUJARAT
26,23,391,ASHOKNAGAR,MADHYA PRADESH
27,9,122,AURAIYA,UTTAR PRADESH
28,9,123,AZAMGARH,UTTAR PRADESH
29,9,133,BUDAUN,UTTAR PRADESH
30,29,524,BAGALKOT,KARNATAKA
31,5,46,BAGESHWAR,UTTARAKHAND
32,9,124,BAGHPAT,UTTAR PRADESH
33,9,125,BAHRAICH,UTTAR PRADESH
34,23,392,BALAGHAT,MADHYA PRADESH
35,21,345,BOLANGIR BALANGIR,ODISHA
36,21,346,BALASORE BALESHWAR,ODISHA
37,29,528,BALLARI,KARNATAKA
38,9,126,BALLIA,UTTAR PRADESH
39,22,646,BALOD,CHHATTISGARH
40,22,644,BALODA BAZAR,CHHATTISGARH
41,22,649,BALRAMPUR,CHHATTISGARH
42,9,127,BALRAMPUR,UTTAR PRADESH
43,24,441,BANAS KANTHA,GUJARAT
44,9,128,BANDA,UTTAR PRADESH
45,8,88,BANSWARA,RAJASTHAN
46,9,129,BARABANKI,UTTAR PRADESH
47,21,347,BARAGARH,ODISHA
